id,subconjunto,question_type,medical_task,body_system,chars,words,chars_full,words_full,tok_cl100k,tok_cl100k_full,tok_qwen,tok_qwen_full
MM-1327,MM,Reasoning,Treatment,Integumentary,1188,183,1303,194,345,392,369,416
MM-1328,MM,Reasoning,Diagnosis,Cardiovascular,765,111,886,126,196,240,207,251
MM-1329,MM,Reasoning,Diagnosis,Skeletal,548,95,608,110,128,153,129,154
MM-1330,MM,Reasoning,Diagnosis,Lymphatic,795,104,995,127,178,233,184,239
MM-1331,MM,Reasoning,Diagnosis,Nervous,800,122,825,132,174,194,177,197
MM-1332,MM,Reasoning,Treatment,Reproductive,970,146,1099,164,219,258,231,270
MM-1333,MM,Reasoning,Basic Science,Skeletal,229,36,289,51,49,74,49,74
MM-1334,MM,Reasoning,Treatment,Skeletal,572,93,833,139,125,190,128,195
MM-1335,MM,Reasoning,Basic Science,Skeletal,734,113,1148,176,169,277,171,279
MM-1336,MM,Reasoning,Diagnosis,Respiratory,776,109,876,119,179,223,180,224
MM-1337,MM,Reasoning,Basic Science,Muscular,1160,174,1338,201,249,291,258,300
MM-1338,MM,Reasoning,Basic Science,Nervous,501,77,576,94,116,147,117,148
MM-1339,MM,Understanding,Diagnosis,Digestive,209,29,319,43,59,101,59,101
MM-1340,MM,Understanding,Diagnosis,Cardiovascular,135,19,227,32,42,76,42,76
MM-1341,MM,Reasoning,Diagnosis,Lymphatic,1193,172,1488,223,234,309,234,309
MM-1342,MM,Understanding,Diagnosis,Skeletal,400,56,493,69,97,138,98,139
MM-1343,MM,Reasoning,Diagnosis,Reproductive,1283,177,1424,197,286,333,297,344
MM-1344,MM,Understanding,Diagnosis,Nervous,187,22,321,38,50,92,50,92
MM-1345,MM,Understanding,Diagnosis,Integumentary,259,36,377,52,64,106,64,106
MM-1346,MM,Understanding,Diagnosis,Cardiovascular,651,98,715,108,140,172,141,173
MM-1347,MM,Understanding,Diagnosis,Digestive,406,57,526,72,96,136,97,137
MM-1348,MM,Understanding,Basic Science,Lymphatic,654,86,720,98,145,174,146,175
MM-1349,MM,Reasoning,Treatment,Nervous,1025,157,1107,169,243,280,254,291
MM-1350,MM,Understanding,Diagnosis,Urinary,170,32,195,42,49,69,49,69
MM-1351,MM,Reasoning,Treatment,Skeletal,551,84,739,111,111,153,111,153
MM-1352,MM,Reasoning,Diagnosis,Cardiovascular,474,78,534,93,113,138,114,139
MM-1353,MM,Reasoning,Treatment,Cardiovascular,736,107,854,121,171,207,181,217
MM-1354,MM,Understanding,Diagnosis,Reproductive,958,141,1067,155,216,259,223,266
MM-1355,MM,Understanding,Diagnosis,Respiratory,222,29,346,43,65,109,66,110
MM-1356,MM,Reasoning,Treatment,Cardiovascular,1143,167,1351,197,269,328,281,340
MM-1357,MM,Reasoning,Diagnosis,Nervous,925,125,1137,154,197,252,198,253
MM-1358,MM,Reasoning,Basic Science,Cardiovascular,358,56,427,66,96,130,97,131
MM-1359,MM,Reasoning,Diagnosis,Integumentary,600,91,736,106,149,199,149,199
MM-1360,MM,Reasoning,Basic Science,Skeletal,676,107,736,122,149,179,150,180
MM-1361,MM,Reasoning,Diagnosis,Cardiovascular,271,40,423,62,69,114,69,114
MM-1362,MM,Reasoning,Treatment,Integumentary,1101,165,1459,218,278,386,278,386
MM-1363,MM,Reasoning,Diagnosis,Respiratory,1103,152,1436,191,254,339,265,350
MM-1364,MM,Reasoning,Diagnosis,Skeletal,391,52,555,71,92,136,92,136
MM-1365,MM,Understanding,Diagnosis,Digestive,266,38,379,53,71,112,72,113
MM-1366,MM,Reasoning,Basic Science,Skeletal,556,91,616,106,131,156,135,160
MM-1367,MM,Reasoning,Diagnosis,Digestive,286,38,441,56,79,130,80,131
MM-1368,MM,Understanding,Diagnosis,Integumentary,178,25,278,38,54,93,54,93
MM-1369,MM,Reasoning,Basic Science,Cardiovascular,796,120,856,135,156,181,157,182
MM-1370,MM,Reasoning,Diagnosis,Digestive,1023,152,1290,193,222,300,223,301
MM-1371,MM,Understanding,Diagnosis,Other / NA,1092,176,1377,218,247,307,258,319
MM-1372,MM,Reasoning,Diagnosis,Cardiovascular,531,79,644,94,141,181,146,186
MM-1373,MM,Reasoning,Treatment,Muscular,778,125,1097,172,169,246,170,247
MM-1374,MM,Reasoning,Diagnosis,Respiratory,749,107,908,126,193,238,202,247
MM-1375,MM,Reasoning,Treatment,Skeletal,539,84,647,108,112,146,113,147
MM-1376,MM,Understanding,Diagnosis,Skeletal,355,53,571,83,96,161,97,162
MM-1377,MM,Reasoning,Diagnosis,Cardiovascular,913,129,1037,147,214,251,223,260
MM-1378,MM,Understanding,Diagnosis,Nervous,543,76,640,89,120,155,121,156
MM-1379,MM,Reasoning,Treatment,Skeletal,391,61,499,82,83,117,84,118
MM-1380,MM,Reasoning,Diagnosis,Nervous,801,119,1011,150,174,235,175,236
MM-1381,MM,Understanding,Diagnosis,Integumentary,319,47,429,63,88,128,90,130
MM-1382,MM,Reasoning,Treatment,Nervous,816,124,926,138,184,215,193,224
MM-1383,MM,Reasoning,Treatment,Reproductive,298,50,450,78,77,122,78,124
MM-1384,MM,Reasoning,Diagnosis,Endocrine,826,125,1089,162,165,219,166,220
MM-1385,MM,Understanding,Diagnosis,Integumentary,628,84,758,99,145,192,146,193
MM-1386,MM,Reasoning,Treatment,Digestive,807,122,882,132,195,231,198,234
MM-1387,MM,Reasoning,Treatment,Skeletal,876,126,1175,169,178,251,182,255
MM-1388,MM,Understanding,Diagnosis,Integumentary,107,17,171,28,36,64,36,64
MM-1389,MM,Understanding,Basic Science,Urinary,547,93,607,108,123,148,124,149
MM-1390,MM,Understanding,Diagnosis,Other / NA,398,54,495,69,83,113,83,113
MM-1391,MM,Understanding,Diagnosis,Urinary,859,128,1036,155,192,241,195,244
MM-1392,MM,Understanding,Diagnosis,Nervous,132,20,200,30,46,80,46,80
MM-1393,MM,Understanding,Basic Science,Other / NA,245,39,382,61,54,88,54,88
MM-1394,MM,Reasoning,Diagnosis,Skeletal,471,74,531,89,104,129,105,130
MM-1395,MM,Reasoning,Diagnosis,Skeletal,483,73,641,101,105,153,106,154
MM-1396,MM,Understanding,Diagnosis,Nervous,310,44,433,62,75,115,76,116
MM-1397,MM,Reasoning,Treatment,Skeletal,620,94,842,126,132,186,132,186
MM-1398,MM,Reasoning,Diagnosis,Lymphatic,1056,157,1172,172,239,277,246,284
MM-1399,MM,Reasoning,Diagnosis,Skeletal,854,140,989,160,192,229,193,230
MM-1400,MM,Reasoning,Treatment,Digestive,1108,175,1244,194,266,312,269,315
MM-1401,MM,Reasoning,Diagnosis,Reproductive,950,143,1047,158,207,237,216,246
MM-1402,MM,Reasoning,Treatment,Skeletal,613,90,1083,161,141,257,145,265
MM-1403,MM,Reasoning,Treatment,Integumentary,552,85,622,95,140,172,150,182
MM-1404,MM,Reasoning,Diagnosis,Nervous,599,88,734,106,133,174,134,175
MM-1405,MM,Reasoning,Diagnosis,Reproductive,1004,138,1149,155,207,249,209,251
MM-1406,MM,Understanding,Diagnosis,Muscular,419,66,511,80,104,142,105,143
MM-1407,MM,Understanding,Basic Science,Nervous,451,59,520,69,113,147,114,148
MM-1408,MM,Reasoning,Treatment,Skeletal,953,147,1098,175,209,252,218,261
MM-1409,MM,Reasoning,Diagnosis,Nervous,429,64,552,81,98,136,99,137
MM-1410,MM,Understanding,Diagnosis,Digestive,505,71,612,87,103,136,104,137
MM-1411,MM,Understanding,Diagnosis,Respiratory,134,19,225,32,42,76,42,76
MM-1412,MM,Reasoning,Diagnosis,Cardiovascular,431,70,634,104,109,167,110,168
MM-1413,MM,Reasoning,Diagnosis,Reproductive,581,77,754,98,138,191,139,192
MM-1414,MM,Reasoning,Diagnosis,Skeletal,573,91,752,121,127,177,130,182
MM-1415,MM,Reasoning,Diagnosis,Skeletal,717,118,899,150,155,205,160,212
MM-1416,MM,Reasoning,Diagnosis,Cardiovascular,529,77,651,95,139,180,144,185
MM-1417,MM,Reasoning,Treatment,Cardiovascular,1179,178,1477,218,262,331,267,336
MM-1418,MM,Reasoning,Basic Science,Muscular,727,111,1102,171,141,218,142,219
MM-1419,MM,Understanding,Diagnosis,Integumentary,239,32,364,47,69,116,69,116
MM-1420,MM,Reasoning,Diagnosis,Reproductive,928,142,1076,162,205,245,214,254
MM-1421,MM,Reasoning,Treatment,Cardiovascular,746,106,876,121,179,218,190,229
MM-1422,MM,Understanding,Diagnosis,Reproductive,263,36,395,54,65,108,65,108
MM-1423,MM,Reasoning,Basic Science,Skeletal,451,69,564,87,111,152,112,153
MM-1424,MM,Reasoning,Diagnosis,Respiratory,208,29,293,41,62,101,62,101
MM-1425,MM,Understanding,Treatment,Respiratory,209,33,281,46,57,86,57,86
MM-1426,MM,Understanding,Diagnosis,Integumentary,195,26,317,41,56,99,56,99
MM-1427,MM,Reasoning,Basic Science,Cardiovascular,684,101,944,142,143,209,143,209
MM-1428,MM,Reasoning,Diagnosis,Muscular,737,100,878,117,154,193,155,194
MM-1429,MM,Understanding,Diagnosis,Cardiovascular,592,75,708,89,145,197,146,198
MM-1430,MM,Reasoning,Treatment,Integumentary,487,72,603,88,120,164,121,165
MM-1431,MM,Understanding,Diagnosis,Skeletal,1057,152,1523,217,210,298,213,301
MM-1432,MM,Understanding,Diagnosis,Digestive,146,21,238,35,46,83,46,83
MM-1433,MM,Reasoning,Treatment,Skeletal,556,88,865,135,118,185,118,185
MM-1434,MM,Reasoning,Basic Science,Respiratory,711,121,877,156,154,204,155,205
MM-1435,MM,Reasoning,Diagnosis,Cardiovascular,903,139,1054,165,205,246,214,255
MM-1436,MM,Understanding,Diagnosis,Nervous,244,34,369,50,67,110,67,110
MM-1437,MM,Understanding,Diagnosis,Nervous,178,25,270,37,55,94,55,94
MM-1438,MM,Reasoning,Diagnosis,Cardiovascular,840,117,1057,148,179,239,180,240
MM-1439,MM,Reasoning,Basic Science,Skeletal,1046,149,1514,212,227,345,228,346
MM-1440,MM,Reasoning,Treatment,Reproductive,839,126,985,147,197,237,209,249
MM-1441,MM,Reasoning,Diagnosis,Respiratory,131,19,219,32,41,74,41,74
MM-1442,MM,Reasoning,Diagnosis,Nervous,1001,159,1026,169,226,246,234,254
MM-1443,MM,Understanding,Diagnosis,Integumentary,972,148,1225,186,224,292,235,305
MM-1444,MM,Understanding,Diagnosis,Integumentary,161,23,263,38,49,88,49,88
MM-1445,MM,Reasoning,Diagnosis,Urinary,638,89,884,122,139,200,139,200
MM-1446,MM,Reasoning,Treatment,Integumentary,1309,196,1640,248,293,381,294,382
MM-1447,MM,Reasoning,Diagnosis,Cardiovascular,1088,169,1240,192,255,299,268,313
MM-1448,MM,Reasoning,Diagnosis,Digestive,827,128,929,143,192,235,196,239
MM-1449,MM,Reasoning,Diagnosis,Nervous,1011,159,1176,182,255,300,273,318
MM-1450,MM,Reasoning,Diagnosis,Skeletal,809,146,1051,191,181,242,181,242
MM-1451,MM,Reasoning,Treatment,Digestive,763,111,942,132,188,243,189,244
MM-1452,MM,Reasoning,Diagnosis,Respiratory,724,101,943,123,166,225,167,226
MM-1453,MM,Reasoning,Diagnosis,Endocrine,819,115,893,125,183,216,190,223
MM-1454,MM,Reasoning,Diagnosis,Cardiovascular,179,25,303,42,51,92,51,92
MM-1455,MM,Understanding,Diagnosis,Lymphatic,251,36,370,53,67,109,67,109
MM-1456,MM,Reasoning,Diagnosis,Cardiovascular,192,26,303,41,49,85,49,85
MM-1457,MM,Reasoning,Diagnosis,Nervous,1272,182,1380,197,295,333,303,341
MM-1458,MM,Reasoning,Treatment,Respiratory,546,89,823,139,139,229,145,241
MM-1459,MM,Reasoning,Diagnosis,Skeletal,973,167,1033,182,216,241,217,242
MM-1460,MM,Understanding,Basic Science,Respiratory,943,145,1215,184,205,277,206,278
MM-1461,MM,Reasoning,Diagnosis,Cardiovascular,838,125,907,135,202,232,210,240
MM-1462,MM,Reasoning,Diagnosis,Nervous,1111,167,1181,177,258,290,266,298
MM-1463,MM,Understanding,Treatment,Skeletal,640,107,1013,168,143,229,150,240
MM-1464,MM,Reasoning,Diagnosis,Digestive,922,139,1019,156,246,281,263,298
MM-1465,MM,Reasoning,Diagnosis,Digestive,1161,177,1268,192,348,384,370,406
MM-1466,MM,Reasoning,Diagnosis,Digestive,591,87,722,102,142,188,142,188
MM-1467,MM,Reasoning,Diagnosis,Reproductive,719,112,874,136,173,215,184,226
MM-1468,MM,Understanding,Diagnosis,Skeletal,398,63,481,79,99,132,100,133
MM-1469,MM,Understanding,Diagnosis,Cardiovascular,688,92,999,129,170,265,179,274
MM-1470,MM,Understanding,Diagnosis,Skeletal,304,42,406,57,73,105,74,106
MM-1471,MM,Reasoning,Basic Science,Skeletal,494,86,524,96,119,144,120,145
MM-1472,MM,Reasoning,Basic Science,Cardiovascular,1059,153,1462,209,203,283,203,283
MM-1473,MM,Understanding,Diagnosis,Skeletal,299,51,360,63,78,112,79,114
MM-1474,MM,Understanding,Diagnosis,Skeletal,560,85,627,96,145,175,146,176
MM-1475,MM,Understanding,Diagnosis,Nervous,243,38,349,53,68,109,68,109
MM-1476,MM,Reasoning,Diagnosis,Digestive,894,134,1014,156,194,229,203,238
MM-1477,MM,Understanding,Basic Science,Lymphatic,680,99,986,147,150,217,160,230
MM-1478,MM,Understanding,Basic Science,Other / NA,212,34,325,54,54,89,55,91
MM-1479,MM,Reasoning,Treatment,Cardiovascular,1557,261,1689,277,407,445,435,473
MM-1480,MM,Reasoning,Diagnosis,Cardiovascular,907,147,1042,167,191,228,192,229
MM-1481,MM,Reasoning,Diagnosis,Cardiovascular,1066,154,1140,164,227,254,235,262
MM-1482,MM,Understanding,Diagnosis,Cardiovascular,680,108,807,127,146,184,147,185
MM-1483,MM,Reasoning,Treatment,Skeletal,759,123,1009,166,167,231,168,232
MM-1484,MM,Reasoning,Treatment,Cardiovascular,651,99,742,111,162,199,171,208
MM-1485,MM,Reasoning,Basic Science,Endocrine,592,88,617,98,148,168,149,169
MM-1486,MM,Reasoning,Treatment,Skeletal,450,71,665,110,99,156,100,157
MM-1487,MM,Reasoning,Diagnosis,Nervous,230,33,367,53,61,105,61,105
MM-1488,MM,Reasoning,Diagnosis,Integumentary,993,147,1207,179,235,294,244,304
MM-1489,MM,Understanding,Basic Science,Other / NA,336,58,361,68,79,99,79,99
MM-1490,MM,Reasoning,Diagnosis,Reproductive,822,126,943,143,182,224,184,226
MM-1491,MM,Reasoning,Treatment,Skeletal,675,102,830,122,155,195,158,198
MM-1492,MM,Understanding,Basic Science,Nervous,582,75,729,96,123,170,124,171
MM-1493,MM,Understanding,Diagnosis,Nervous,139,19,235,32,43,78,43,78
MM-1494,MM,Understanding,Diagnosis,Integumentary,190,26,305,40,58,101,58,101
MM-1495,MM,Reasoning,Basic Science,Skeletal,337,54,453,74,82,117,83,118
MM-1496,MM,Reasoning,Treatment,Skeletal,848,130,1351,203,185,296,186,297
MM-1497,MM,Reasoning,Diagnosis,Nervous,637,93,981,143,144,232,144,232
MM-1498,MM,Reasoning,Basic Science,Reproductive,505,72,530,82,113,133,113,133
MM-1499,MM,Reasoning,Treatment,Skeletal,740,110,1064,154,180,274,181,275
MM-1500,MM,Understanding,Diagnosis,Lymphatic,253,36,344,49,71,104,71,104
MM-1501,MM,Reasoning,Treatment,Cardiovascular,1054,154,1127,164,260,290,272,302
MM-1502,MM,Reasoning,Treatment,Skeletal,572,90,802,124,125,176,125,176
MM-1503,MM,Reasoning,Treatment,Nervous,1525,234,1659,253,436,479,466,509
MM-1504,MM,Reasoning,Diagnosis,Digestive,624,95,684,110,124,149,125,150
MM-1505,MM,Understanding,Basic Science,Urinary,758,111,938,135,170,224,172,226
MM-1506,MM,Reasoning,Diagnosis,Nervous,800,130,921,145,202,247,210,255
MM-1507,MM,Reasoning,Diagnosis,Cardiovascular,781,119,905,137,171,209,172,210
MM-1508,MM,Understanding,Diagnosis,Integumentary,384,62,485,75,95,130,96,131
MM-1509,MM,Understanding,Basic Science,Skeletal,319,55,379,70,80,105,80,105
MM-1510,MM,Understanding,Diagnosis,Skeletal,227,31,334,45,67,109,67,109
MM-1511,MM,Reasoning,Diagnosis,Respiratory,1386,209,1734,251,305,382,317,394
MM-1512,MM,Understanding,Diagnosis,Respiratory,384,52,476,65,94,129,94,129
MM-1513,MM,Understanding,Diagnosis,Endocrine,274,41,407,58,74,117,78,122
MM-1514,MM,Reasoning,Treatment,Cardiovascular,614,87,686,97,137,169,138,170
MM-1515,MM,Reasoning,Treatment,Integumentary,1423,199,1505,210,368,405,383,420
MM-1516,MM,Reasoning,Treatment,Skeletal,480,72,596,88,109,147,110,148
MM-1517,MM,Understanding,Basic Science,Skeletal,381,69,441,84,90,115,90,115
MM-1518,MM,Reasoning,Diagnosis,Cardiovascular,715,103,844,123,165,206,175,216
MM-1519,MM,Reasoning,Treatment,Digestive,797,120,885,134,184,213,195,224
MM-1520,MM,Reasoning,Diagnosis,Reproductive,125,23,150,33,43,68,43,68
MM-1521,MM,Reasoning,Treatment,Cardiovascular,1115,167,1188,177,305,340,326,361
MM-1522,MM,Reasoning,Treatment,Nervous,594,92,806,121,122,168,122,168
MM-1523,MM,Reasoning,Diagnosis,Digestive,867,113,991,128,208,256,217,265
MM-1524,MM,Reasoning,Basic Science,Nervous,734,114,795,124,178,206,188,216
MM-1525,MM,Understanding,Diagnosis,Integumentary,179,26,268,39,52,89,52,89
MM-1526,MM,Reasoning,Diagnosis,Digestive,164,22,285,38,46,84,47,86
MM-1527,MM,Reasoning,Diagnosis,Endocrine,236,37,303,47,65,98,66,99
MM-1528,MM,Reasoning,Diagnosis,Reproductive,1039,150,1111,160,236,269,243,276
MM-1529,MM,Reasoning,Diagnosis,Lymphatic,968,142,1075,156,212,250,220,258
MM-1530,MM,Reasoning,Diagnosis,Skeletal,341,47,424,59,75,105,76,106
MM-1531,MM,Understanding,Diagnosis,Nervous,732,123,793,135,181,207,191,217
MM-1532,MM,Reasoning,Diagnosis,Skeletal,1047,142,1234,164,222,272,229,279
MM-1533,MM,Reasoning,Diagnosis,Skeletal,552,80,796,116,113,171,113,171
MM-1534,MM,Reasoning,Diagnosis,Digestive,886,124,1094,154,184,243,186,245
MM-1535,MM,Reasoning,Basic Science,Muscular,505,63,581,73,113,149,114,150
MM-1536,MM,Understanding,Basic Science,Skeletal,381,69,431,84,96,126,96,126
MM-1537,MM,Understanding,Basic Science,Nervous,671,102,711,114,134,156,135,157
MM-1538,MM,Understanding,Diagnosis,Integumentary,111,18,179,30,36,64,36,64
MM-1539,MM,Reasoning,Diagnosis,Skeletal,531,85,675,105,118,156,119,157
MM-1540,MM,Reasoning,Diagnosis,Skeletal,624,91,891,128,152,230,153,231
MM-1541,MM,Understanding,Diagnosis,Nervous,590,80,667,92,127,163,127,163
MM-1542,MM,Understanding,Basic Science,Skeletal,419,72,471,89,109,136,110,137
MM-1543,MM,Reasoning,Treatment,Respiratory,374,60,583,95,93,154,93,154
MM-1544,MM,Understanding,Diagnosis,Skeletal,191,29,309,48,53,93,53,93
MM-1545,MM,Understanding,Diagnosis,Integumentary,186,26,290,40,56,97,56,97
MM-1546,MM,Reasoning,Diagnosis,Endocrine,1008,159,1073,171,332,360,362,391
MM-1547,MM,Reasoning,Treatment,Cardiovascular,1035,148,1216,168,240,287,252,300
MM-1548,MM,Reasoning,Diagnosis,Cardiovascular,1177,170,1261,182,262,295,272,305
MM-1549,MM,Reasoning,Basic Science,Nervous,621,96,829,133,127,180,128,181
MM-1550,MM,Understanding,Basic Science,Respiratory,796,127,1152,190,196,291,199,295
MM-1551,MM,Reasoning,Diagnosis,Nervous,973,151,1056,163,236,264,245,273
MM-1552,MM,Understanding,Basic Science,Other / NA,252,42,428,71,57,99,57,99
MM-1553,MM,Reasoning,Diagnosis,Integumentary,631,103,734,119,138,170,139,171
MM-1554,MM,Reasoning,Diagnosis,Digestive,966,146,1060,160,226,255,236,265
MM-1555,MM,Understanding,Diagnosis,Nervous,469,66,651,88,108,165,108,165
MM-1556,MM,Understanding,Basic Science,Endocrine,990,144,1227,177,232,293,238,299
MM-1557,MM,Reasoning,Diagnosis,Nervous,893,138,975,153,201,231,208,238
MM-1558,MM,Reasoning,Basic Science,Skeletal,301,46,374,57,73,98,74,99
MM-1559,MM,Reasoning,Diagnosis,Muscular,511,74,777,110,135,214,136,215
MM-1560,MM,Reasoning,Treatment,Skeletal,967,143,1264,186,211,289,212,290
MM-1561,MM,Reasoning,Basic Science,Cardiovascular,693,96,776,112,151,178,160,187
MM-1562,MM,Reasoning,Diagnosis,Reproductive,1064,140,1230,165,243,296,255,309
MM-1563,MM,Reasoning,Diagnosis,Reproductive,335,46,450,62,78,113,78,113
MM-1564,MM,Understanding,Basic Science,Nervous,203,30,321,48,59,102,59,102
MM-1565,MM,Reasoning,Diagnosis,Digestive,2096,332,2353,365,590,657,635,702
MM-1566,MM,Reasoning,Diagnosis,Integumentary,912,144,1118,174,203,262,205,265
MM-1567,MM,Understanding,Diagnosis,Skeletal,208,33,268,48,48,73,48,73
MM-1568,MM,Understanding,Treatment,Integumentary,232,33,320,45,56,88,56,88
MM-1569,MM,Reasoning,Diagnosis,Nervous,1000,149,1080,163,220,250,230,260
MM-1570,MM,Understanding,Diagnosis,Endocrine,195,24,311,37,55,97,55,97
MM-1571,MM,Understanding,Diagnosis,Integumentary,631,92,736,109,149,185,150,186
MM-1572,MM,Reasoning,Treatment,Cardiovascular,675,96,807,112,163,207,165,209
MM-1573,MM,Reasoning,Diagnosis,Digestive,815,115,990,139,161,200,162,201
MM-1574,MM,Understanding,Diagnosis,Skeletal,286,38,414,52,83,129,85,131
MM-1575,MM,Reasoning,Treatment,Skeletal,580,91,811,125,143,208,144,209
MM-1576,MM,Reasoning,Diagnosis,Cardiovascular,942,137,1078,162,206,243,215,252
MM-1577,MM,Reasoning,Treatment,Cardiovascular,603,93,692,105,149,182,158,191
MM-1578,MM,Reasoning,Diagnosis,Reproductive,958,155,1160,184,271,332,281,342
MM-1579,MM,Understanding,Basic Science,Muscular,436,74,541,99,103,143,103,143
MM-1580,MM,Reasoning,Diagnosis,Skeletal,302,42,410,58,70,106,71,107
MM-1581,MM,Understanding,Diagnosis,Skeletal,165,21,260,33,51,91,51,91
MM-1582,MM,Reasoning,Treatment,Skeletal,235,38,295,53,64,89,64,89
MM-1583,MM,Reasoning,Treatment,Skeletal,936,144,1184,182,235,295,242,302
MM-1584,MM,Reasoning,Basic Science,Cardiovascular,745,112,815,127,168,193,175,200
MM-1585,MM,Reasoning,Diagnosis,Skeletal,556,95,684,118,133,176,135,178
MM-1586,MM,Reasoning,Diagnosis,Integumentary,978,144,1116,163,223,265,233,276
MM-1587,MM,Understanding,Basic Science,Skeletal,552,83,587,93,128,151,129,152
MM-1588,MM,Reasoning,Diagnosis,Skeletal,392,63,571,92,95,142,96,143
MM-1589,MM,Reasoning,Diagnosis,Cardiovascular,956,141,1218,176,214,274,226,286
MM-1590,MM,Reasoning,Treatment,Skeletal,402,64,585,92,102,157,103,158
MM-1591,MM,Understanding,Diagnosis,Endocrine,755,111,954,137,181,237,191,247
MM-1592,MM,Reasoning,Treatment,Skeletal,725,113,887,136,160,206,162,208
MM-1593,MM,Understanding,Diagnosis,Digestive,894,131,1045,151,190,230,192,232
MM-1594,MM,Understanding,Treatment,Skeletal,290,42,404,58,72,112,72,112
MM-1595,MM,Reasoning,Diagnosis,Cardiovascular,1151,172,1283,190,268,309,277,318
MM-1596,MM,Reasoning,Diagnosis,Skeletal,636,96,773,118,133,166,134,167
MM-1597,MM,Reasoning,Basic Science,Lymphatic,1036,145,1188,162,257,305,267,315
MM-1598,MM,Understanding,Diagnosis,Nervous,1112,164,1244,180,274,318,286,330
MM-1599,MM,Reasoning,Diagnosis,Cardiovascular,989,141,1182,163,216,261,224,269
MM-1600,MM,Reasoning,Diagnosis,Cardiovascular,662,96,742,107,142,175,143,176
MM-1601,MM,Reasoning,Basic Science,Cardiovascular,879,139,924,154,189,214,190,215
MM-1602,MM,Understanding,Diagnosis,Skeletal,750,113,904,135,229,276,247,294
MM-1603,MM,Reasoning,Diagnosis,Respiratory,564,88,624,103,121,146,122,147
MM-1604,MM,Reasoning,Diagnosis,Digestive,608,97,678,112,147,177,157,187
MM-1605,MM,Reasoning,Treatment,Respiratory,803,111,943,129,180,224,181,225
MM-1606,MM,Reasoning,Basic Science,Nervous,478,77,503,87,116,136,117,137
MM-1607,MM,Reasoning,Diagnosis,Nervous,756,110,833,121,176,212,178,214
MM-1608,MM,Understanding,Basic Science,Digestive,628,93,700,108,142,174,145,179
MM-1609,MM,Reasoning,Diagnosis,Lymphatic,664,118,689,128,146,166,146,166
MM-1610,MM,Reasoning,Diagnosis,Skeletal,263,38,371,54,71,115,71,115
MM-1611,MM,Understanding,Diagnosis,Integumentary,218,30,346,47,61,105,61,105
MM-1612,MM,Understanding,Basic Science,Nervous,352,58,377,68,79,99,79,99
MM-1613,MM,Reasoning,Diagnosis,Cardiovascular,284,44,391,60,79,122,80,123
MM-1614,MM,Reasoning,Treatment,Skeletal,362,49,506,67,82,125,83,126
MM-1615,MM,Reasoning,Basic Science,Reproductive,979,158,1171,190,226,284,229,287
MM-1616,MM,Reasoning,Treatment,Endocrine,1147,174,1242,187,260,298,270,308
MM-1617,MM,Reasoning,Treatment,Integumentary,1367,199,1466,212,409,448,433,472
MM-1618,MM,Reasoning,Treatment,Skeletal,880,136,989,155,202,233,212,243
MM-1619,MM,Understanding,Diagnosis,Respiratory,891,136,1051,158,201,247,211,257
MM-1620,MM,Reasoning,Diagnosis,Cardiovascular,1490,224,1687,251,328,376,338,386
MM-1621,MM,Understanding,Basic Science,Cardiovascular,110,21,135,31,41,66,41,66
MM-1622,MM,Reasoning,Diagnosis,Integumentary,376,55,562,83,79,126,79,126
MM-1623,MM,Understanding,Basic Science,Skeletal,196,35,256,50,50,75,50,75
MM-1624,MM,Understanding,Diagnosis,Integumentary,516,78,649,96,117,158,118,159
MM-1625,MM,Reasoning,Diagnosis,Skeletal,168,23,279,38,51,91,51,91
MM-1626,MM,Reasoning,Diagnosis,Skeletal,582,94,700,112,135,175,139,179
MM-1627,MM,Understanding,Diagnosis,Integumentary,232,31,351,48,47,78,47,78
MM-1628,MM,Reasoning,Treatment,Urinary,838,126,1005,150,213,266,224,277
MM-1629,MM,Reasoning,Treatment,Nervous,1497,243,1915,288,463,600,483,620
MM-1630,MM,Reasoning,Diagnosis,Cardiovascular,756,110,1103,164,174,248,177,251
MM-1631,MM,Understanding,Basic Science,Nervous,553,76,622,86,143,177,146,180
MM-1632,MM,Reasoning,Treatment,Nervous,902,148,1039,170,228,273,243,288
MM-1633,MM,Reasoning,Treatment,Cardiovascular,934,141,1291,200,197,284,201,291
MM-1634,MM,Reasoning,Diagnosis,Cardiovascular,1148,174,1280,192,277,317,287,327
MM-1635,MM,Reasoning,Basic Science,Cardiovascular,712,106,737,116,147,167,147,167
MM-1636,MM,Reasoning,Treatment,Nervous,1859,263,1964,277,559,587,584,612
MM-1637,MM,Understanding,Diagnosis,Cardiovascular,436,58,548,73,104,150,104,150
MM-1638,MM,Understanding,Diagnosis,Skeletal,180,24,287,37,56,99,56,99
MM-1639,MM,Reasoning,Diagnosis,Reproductive,1251,192,1355,207,283,317,295,329
MM-1640,MM,Reasoning,Treatment,Reproductive,1531,247,1630,261,343,385,345,387
MM-1641,MM,Reasoning,Diagnosis,Respiratory,556,73,687,89,122,166,122,166
MM-1642,MM,Reasoning,Treatment,Skeletal,679,108,739,123,135,160,136,161
MM-1643,MM,Reasoning,Diagnosis,Nervous,782,123,842,138,177,202,186,211
MM-1644,MM,Reasoning,Treatment,Cardiovascular,1000,145,1093,157,249,279,265,295
MM-1645,MM,Reasoning,Diagnosis,Cardiovascular,367,54,486,73,81,119,81,119
