qid,file,body_system,question_type,medical_task,format,mode,width,height,area_px,aspect,filesize,is_gray,md5,phash
MM-297,MM-297-a.jpeg,Cardiovascular,Reasoning,Treatment,JPEG,RGB,1024,775,793600,1.3213,66125,False,3642604441c16610dd50d9840283821b,95fd40a507917ba5
MM-298,MM-298-a.jpeg,Urinary,Understanding,Basic Science,JPEG,RGB,1136,669,759984,1.6981,248053,False,263a3fdf704e9ed19420a1f70bf256ca,bff5c00301fb5853
MM-299,MM-299-a.jpeg,Integumentary,Understanding,Treatment,JPEG,RGB,515,303,156045,1.6997,15896,False,9eba0b9fb7d48f46e43de100a1de35f3,c0550a4e2b6b6b3f
MM-300,MM-300-a.jpeg,Skeletal,Reasoning,Basic Science,JPEG,RGB,459,450,206550,1.02,16352,True,41d421274bb1fadc5fb13217681a9e9c,d0962f786ce534c9
MM-301,MM-301-a.jpeg,Skeletal,Reasoning,Diagnosis,PNG,RGBA,450,450,202500,1.0,120874,True,f81430086aa442939fd93fd5a9b1fdb2,98336663669bc6cc
MM-301,MM-301-b.jpeg,Skeletal,Reasoning,Diagnosis,PNG,RGBA,212,450,95400,0.4711,103576,True,3c7163f18e3bf706b491ec50be8108bd,94612d2fafa1e0bc
MM-301,MM-301-c.jpeg,Skeletal,Reasoning,Diagnosis,PNG,RGBA,497,450,223650,1.1044,216440,True,dbc1edc7ff4180655f8ffe55a668294d,cc1e7ac023ddb8ca
MM-301,MM-301-d.jpeg,Skeletal,Reasoning,Diagnosis,PNG,RGBA,480,450,216000,1.0667,170144,True,0c39839bb81d81508b1bfc83b08e3f91,9313b64618bb678e
MM-301,MM-301-e.jpeg,Skeletal,Reasoning,Diagnosis,PNG,RGBA,600,450,270000,1.3333,218962,True,6b2e99cb3f7b6da91e7172271ef7bd64,c76738986b2f9458
MM-302,MM-302-a.jpeg,Digestive,Reasoning,Diagnosis,JPEG,RGB,1500,1861,2791500,0.806,808516,True,da6f0353a5cd5a46f8343d37270a064e,c466929d69b49697
MM-303,MM-303-a.jpeg,Nervous,Reasoning,Diagnosis,JPEG,RGB,1500,1185,1777500,1.2658,1185912,False,be9577b8856504f4f7138cb9d3cce622,84f7776119657185
MM-304,MM-304-a.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,RGB,400,403,161200,0.9926,43301,False,ea1f33d4c9472c44ba566aa56f24c06f,ef5545a08ecb9916
MM-304,MM-304-b.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,RGB,1242,932,1157544,1.3326,448724,True,ba9df56b4837e266d05318386b3514b1,d92c2bd570b81ad9
MM-304,MM-304-c.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,RGB,509,335,170515,1.5194,24961,False,42b247b354b78bc093e4942148cc7881,9c7b440630d5f5ec
MM-304,MM-304-d.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,RGB,439,287,125993,1.5296,20183,False,d055a4820a00c0931f57966157075bb9,d7a6665fa4c811d1
MM-304,MM-304-e.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,RGB,1500,998,1497000,1.503,191957,False,e73d36075e52df43acc5f965bdfca61a,891b436764bc8b3e
MM-305,MM-305-a.jpeg,Nervous,Reasoning,Diagnosis,JPEG,RGB,1500,1494,2241000,1.004,300040,True,5c79829837b930915666db0ccdcadb62,ea568a2ab9b195aa
MM-306,MM-306-a.png,Skeletal,Reasoning,Diagnosis,PNG,RGB,362,284,102808,1.2746,101016,True,f6115960cf16df6babec943a37ea2338,d626ea00a74f907f
MM-307,MM-307-a.jpeg,Respiratory,Reasoning,Diagnosis,JPEG,RGB,600,364,218400,1.6484,69470,False,c84a99b7dcde4b5ff9ea0539b6842ba9,b313c55b52e4ea4a
MM-307,MM-307-b.jpeg,Respiratory,Reasoning,Diagnosis,JPEG,RGB,275,183,50325,1.5027,16661,False,5f00bcbdb10a62e6f49cf2fc1fb093e6,83456eb9bf396421
MM-307,MM-307-c.jpeg,Respiratory,Reasoning,Diagnosis,JPEG,RGB,571,385,219835,1.4831,42908,False,3231c34bdd671dbcbbac8a5ec1d2ed96,acb8f498c3c7f089
MM-307,MM-307-d.jpeg,Respiratory,Reasoning,Diagnosis,JPEG,RGB,504,331,166824,1.5227,135557,False,346c4a029891e30d0d238fe04c8c50ba,de937219d90ee40d
MM-307,MM-307-e.jpeg,Respiratory,Reasoning,Diagnosis,JPEG,RGB,504,330,166320,1.5273,103724,False,8ca6ae4f173651557235ecf8869345ef,82d5385d393ce565
MM-307,MM-307-f.jpeg,Respiratory,Reasoning,Diagnosis,JPEG,L,489,690,337410,0.7087,76672,True,3951bc3735719cff92f16d6450c7c422,8e0cf5d2034b5acf
MM-308,MM-308-a.jpeg,Nervous,Reasoning,Treatment,JPEG,RGB,1019,1500,1528500,0.6793,176627,False,cac7ac7d44cdd7b624b707ebf3c1bf5c,ff17242a3838f391
MM-309,MM-309-a.jpeg,Endocrine,Reasoning,Treatment,JPEG,RGB,640,480,307200,1.3333,33712,False,db456a39f6cd237e06de02f704e46fb3,f15ebe961d838542
MM-310,MM-310-a.jpeg,Reproductive,Understanding,Diagnosis,JPEG,RGB,1500,1296,1944000,1.1574,1635002,False,9fc51901cfbd69849ae54eb209d82920,b0429cb2f2b39373
MM-311,MM-311-a.jpeg,Cardiovascular,Understanding,Diagnosis,JPEG,RGB,198,178,35244,1.1124,13364,False,84c2398a101e7d495ef365f08e0ac896,c1273c1c66593b67
MM-311,MM-311-b.jpeg,Cardiovascular,Understanding,Diagnosis,JPEG,RGB,198,181,35838,1.0939,14269,False,dc7ab8fb9d13df1382be1b65b9122331,c1773e1c66491b63
MM-312,MM-312-a.jpeg,Skeletal,Reasoning,Treatment,JPEG,RGB,319,630,200970,0.5063,20293,True,f3541f7fcbf7ccdf0aee6b777f820cf4,cc4cbb1317b6c60b
MM-312,MM-312-b.jpeg,Skeletal,Reasoning,Treatment,JPEG,RGB,426,630,268380,0.6762,22846,True,6f6650c149a4cdf19b44b09d541014ca,8170f6333769a6c6
MM-312,MM-312-c.jpeg,Skeletal,Reasoning,Treatment,JPEG,RGB,316,630,199080,0.5016,17224,True,6c3bfc5c7460fb7e75f2a36c641a88f1,8109ff4e33626c7c
MM-313,MM-313-a.jpeg,Reproductive,Reasoning,Diagnosis,JPEG,RGB,300,281,84300,1.0676,11416,True,99bdd09b2ef1795f08ad3465f8c92060,f96cc65a4c7c5c41
MM-314,MM-314-a.jpeg,Digestive,Reasoning,Diagnosis,JPEG,RGB,313,281,87953,1.1139,10843,False,d35657115fa89260d248bf015818eed9,bbad84f1c626925a
MM-315,MM-315-a.jpeg,Respiratory,Reasoning,Basic Science,JPEG,RGB,796,436,347056,1.8257,32763,True,045a3dbd89108691522f0e1b0d42022d,8d0f8e079470f8fa
MM-316,MM-316-a.jpeg,Respiratory,Reasoning,Diagnosis,JPEG,RGB,1024,1024,1048576,1.0,109327,True,0db8d2f4eb12ec9eeae0d201837c38ea,d9bdc21ac74e1a43
MM-316,MM-316-b.jpeg,Respiratory,Reasoning,Diagnosis,JPEG,RGB,583,482,281006,1.2095,17201,True,18bd45c84b7546b49525ea552df29997,817b56405a5f5b59
MM-317,MM-317-a.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,RGB,1499,1000,1499000,1.499,92327,False,d83d9b6436d053c197e076ef9753f5ef,cece393c64713166
MM-318,MM-318-a.jpeg,Skeletal,Reasoning,Treatment,JPEG,RGB,1388,1062,1474056,1.307,128497,True,035a17658521503eb2681767e78ac4a1,94d1edab20cec633
MM-318,MM-318-b.jpeg,Skeletal,Reasoning,Treatment,JPEG,RGB,250,179,44750,1.3966,11635,True,28e96c530bda44199383fd28006bb697,958ad90a6d9a7659
MM-319,MM-319-a.jpeg,Skeletal,Reasoning,Diagnosis,PNG,RGBA,345,450,155250,0.7667,153674,True,c8d40006f0d477e2981314b9cdd4a3a1,910184ef7b7d545c
MM-319,MM-319-b.jpeg,Skeletal,Reasoning,Diagnosis,PNG,RGBA,345,450,155250,0.7667,95614,True,54cbb05f623d69afa931f470bc49e1f6,a424d83e0ecf3727
MM-319,MM-319-c.jpeg,Skeletal,Reasoning,Diagnosis,PNG,RGBA,355,450,159750,0.7889,140543,True,25d6a9c3de1f45615e3bfdcd3673607c,c142dabd2d0f8b33
MM-319,MM-319-d.jpeg,Skeletal,Reasoning,Diagnosis,PNG,RGBA,345,450,155250,0.7667,123328,True,4a88c478a4a7589f2c41027a7460a82e,890b966c69cf6f22
MM-320,MM-320-a.jpeg,Cardiovascular,Understanding,Diagnosis,JPEG,RGB,1453,954,1386162,1.5231,326394,False,e95c0ee644aa12aa04e01c8f50624505,e3641378fe51193c
MM-321,MM-321-a.jpeg,Reproductive,Reasoning,Diagnosis,JPEG,RGB,442,581,256802,0.7608,73700,False,d41abb8847a3d4e967a95f90a155687c,82b26fa0da8f23ce
MM-322,MM-322-a.jpeg,Muscular,Reasoning,Diagnosis,JPEG,RGB,886,1000,886000,0.886,87331,False,6257d783797ac15bbd48a4f9270f8f60,cb75349e0d603c6d
MM-323,MM-323-a.jpeg,Urinary,Reasoning,Diagnosis,JPEG,RGB,1500,1875,2812500,0.8,182806,True,38a9371ebbcead75b344c152222a2f37,8ec2f0b0da34bc8f
MM-324,MM-324-a.jpeg,Skeletal,Understanding,Diagnosis,JPEG,RGB,378,300,113400,1.26,96908,True,7113e3009ddb8bca71b2fe2697d27a03,922f22cd6c5bac63
MM-325,MM-325-a.jpeg,Respiratory,Reasoning,Diagnosis,JPEG,RGB,387,411,159057,0.9416,8848,True,1202842efc53eb7a5706ef696ee0c7a5,996698b38ecd9899
MM-325,MM-325-b.jpeg,Respiratory,Reasoning,Diagnosis,JPEG,RGB,405,407,164835,0.9951,10544,True,56458cfa13bfe356614fca0787bcd341,99e690f392c9ce98
MM-326,MM-326-a.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,RGB,1024,851,871424,1.2033,360007,True,ad2e31ba1507b6f53092343f8992f330,983f435a2e623b3c
MM-327,MM-327-a.jpeg,Other / NA,Reasoning,Basic Science,JPEG,RGB,332,213,70716,1.5587,11243,True,e7dddfebe2ad18646ba30856f4d93795,a5c07e1c2019f77d
MM-328,MM-328-a.png,Cardiovascular,Reasoning,Treatment,PNG,RGB,396,234,92664,1.6923,141229,True,ba20c87c3005976e5d856fcfbe3ab33a,a03c17df081f07e7
MM-329,MM-329-a.jpeg,Reproductive,Reasoning,Diagnosis,JPEG,RGB,1500,2210,3315000,0.6787,882169,False,5644e8513362d04106df41a8f747031e,928a6bfb0f658632
MM-330,MM-330-a.jpeg,Reproductive,Understanding,Diagnosis,JPEG,RGB,1500,2007,3010500,0.7474,1304964,False,8ded1cd7971be9534bda0c70a10badd1,bd8f73d8d68c3204
MM-331,MM-331-a.jpeg,Respiratory,Understanding,Diagnosis,JPEG,RGB,1500,1200,1800000,1.25,352140,False,f1917ddf8bc080a924082ac65fa8fcd2,df52c06aab29893d
MM-332,MM-332-a.jpeg,Muscular,Reasoning,Diagnosis,PNG,RGBA,602,450,270900,1.3378,663167,False,04d443438d2e235b2bdb2351c9c32732,d4a55329526d6b27
MM-332,MM-332-b.jpeg,Muscular,Reasoning,Diagnosis,PNG,RGBA,600,450,270000,1.3333,492820,False,b2b304879caf7bc72172ad8bac02520b,ec4bd295b5b1c232
MM-333,MM-333-a.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,RGB,390,336,131040,1.1607,25566,False,e5b8697da6c39cd90d33dc8d5492c681,ba33859d3f4a7031
MM-334,MM-334-a.jpeg,Digestive,Reasoning,Diagnosis,JPEG,RGB,225,224,50400,1.0045,2927,True,8d93f706c71dc95468ae6a289a2eb283,94d0696ba594bcf2
MM-335,MM-335-a.jpeg,Urinary,Reasoning,Diagnosis,JPEG,RGB,615,301,185115,2.0432,21548,True,98e71dc9fd951e4684004ad1dd429c16,c4c23aed96b6d225
MM-336,MM-336-a.jpeg,Cardiovascular,Reasoning,Basic Science,JPEG,RGB,1600,534,854400,2.9963,27747,True,be1c89d901bc7cd23fd004cf4a540d44,aa9ce6439936d24b
MM-337,MM-337-a.jpeg,Skeletal,Reasoning,Diagnosis,JPEG,RGB,372,450,167400,0.8267,12812,True,8958fc64915555ce30c282fb2c55d45f,cbe572390d0616af
MM-337,MM-337-b.jpeg,Skeletal,Reasoning,Diagnosis,JPEG,RGB,295,450,132750,0.6556,36120,False,c7c908b52f3ea4578b5b0636c513d56c,d6273e9c41a3d1d1
MM-337,MM-337-c.jpeg,Skeletal,Reasoning,Diagnosis,JPEG,RGB,599,450,269550,1.3311,59707,False,cd38a85afc233007bbc317d19432c76c,c0ecb8bdf4450e1e
MM-338,MM-338-a.jpeg,Reproductive,Understanding,Diagnosis,JPEG,RGB,1500,1126,1689000,1.3321,1156948,False,7fee000a5031039bc40b42fac4c4feae,f8ce85b1a6a89a66
MM-339,MM-339-a.jpeg,Urinary,Reasoning,Basic Science,JPEG,RGB,342,276,94392,1.2391,15191,True,1190730e33d0ec0338272799cdf52fcd,d0600f9b6fceb498
MM-339,MM-339-b.jpeg,Urinary,Reasoning,Basic Science,JPEG,RGB,338,410,138580,0.8244,20405,False,4fd51b0546223e7e7cb816a8d9c19465,aa75c4a69e499a99
MM-340,MM-340-a.jpeg,Skeletal,Reasoning,Diagnosis,JPEG,RGB,221,121,26741,1.8264,4036,True,4f668132a71fbdcc64c942af2a340fdb,91859b917a4afd85
MM-340,MM-340-b.jpeg,Skeletal,Reasoning,Diagnosis,JPEG,RGB,421,450,189450,0.9356,17772,True,150007152b0dadaadfa23f32e030063f,d54a6a2937eec446
MM-341,MM-341-a.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,RGB,1500,816,1224000,1.8382,293052,True,37221cf9dfd3abf4ee975d88ead94b8d,ece4ed6664846566
MM-342,MM-342-a.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,RGB,666,70,46620,9.5143,11948,False,6823f85c0a8dbbda461a9adc0986f2ff,81bff94c3385cc32
MM-342,MM-342-b.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,RGB,582,139,80898,4.1871,23955,False,96d1fa0041299d802fda1406e9071a19,aaf887789502f987
MM-342,MM-342-c.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,RGB,967,304,293968,3.1809,47451,False,873709fa05f504671fde540afe464e74,9652a90b6dd48b6b
MM-342,MM-342-d.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,RGB,1163,82,95366,14.1829,16980,False,6a3d121a442ad117d942b968c6e4a853,9111eb15b5e7458e
MM-342,MM-342-e.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,RGB,1229,90,110610,13.6556,14532,True,f306c88f9c4bd2ad9e15907fe19cd1cb,97ceb52a44d5b12a
MM-342,MM-342-f.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,RGB,1128,63,71064,17.9048,16993,False,f13ecfcbb80ebb40c8d0e1ac8ae38c7e,85d2b96ac6d92ac6
MM-343,MM-343-a.jpeg,Integumentary,Understanding,Diagnosis,JPEG,RGB,1500,1257,1885500,1.1933,1075966,False,f31f0e304ffe1ec1b4f8c2dd16b242e5,bf39cc8c90c85e47
MM-344,MM-344-a.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,RGB,379,304,115216,1.2467,14089,False,d0fb3c068f68f325e4979d52e024fe7b,aee6b4b0d94a985a
MM-345,MM-345-a.jpeg,Skeletal,Understanding,Diagnosis,JPEG,RGB,1500,1735,2602500,0.8646,389877,True,b9a59d5ede32af254e548cddbeca1429,897887031d4ff8f1
MM-346,MM-346-a.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,RGB,650,354,230100,1.8362,113317,False,a4751eda6371c094cdfe39c8cd3ea8da,aacedad0e06d648b
MM-347,MM-347-a.jpeg,Other / NA,Understanding,Diagnosis,JPEG,RGB,1500,1188,1782000,1.2626,656088,False,95cfe735a87c142295d02e71de9857bb,cba2a3f4243dd54a
MM-348,MM-348-a.jpeg,Digestive,Understanding,Diagnosis,JPEG,RGB,1500,2178,3267000,0.6887,1351201,False,b29a5975cfc972033bc3da51dfb7e446,82c0378ffa95e81b
MM-349,MM-349-a.jpeg,Skeletal,Reasoning,Treatment,PNG,RGBA,359,300,107700,1.1967,173354,False,de27698d72e5885fde5e83e47f8f837c,d62db1b6b50d9584
MM-349,MM-349-b.jpeg,Skeletal,Reasoning,Treatment,PNG,RGBA,379,300,113700,1.2633,205976,False,3d417e295a274c59ce06321dcb6d27d5,d32d9d273dc438c2
MM-350,MM-350-a.jpeg,Skeletal,Reasoning,Treatment,JPEG,RGB,600,450,270000,1.3333,20519,False,85806cb25a5f72b89ff1a72f587bf1c0,9216e4cdf963cc29
MM-350,MM-350-b.jpeg,Skeletal,Reasoning,Treatment,JPEG,RGB,600,450,270000,1.3333,18177,False,c30f2ea1315a37019ec6125da401ac4b,bd4ce239c693a698
MM-350,MM-350-c.jpeg,Skeletal,Reasoning,Treatment,JPEG,RGB,600,450,270000,1.3333,13327,False,02db3785ed3f19f4781aa4eaada94cda,9436e9c99df0c08f
MM-351,MM-351-a.jpeg,Nervous,Understanding,Treatment,JPEG,RGB,598,424,253552,1.4104,25540,False,fd0dd58f5d1fed3499ae683363777eb9,a852c50bd73eda38
MM-352,MM-352-a.jpeg,Integumentary,Reasoning,Treatment,JPEG,RGB,1338,999,1336662,1.3393,147211,False,a3d6b86badb58fad16c758d2867628ce,83832b0fc1c17e3f
MM-353,MM-353-a.jpeg,Digestive,Reasoning,Treatment,JPEG,L,1260,999,1258740,1.2613,145007,True,fa5e76e7b6f15f87f55780c538f04131,c4e73e0e71399931
MM-354,MM-354-a.jpeg,Integumentary,Understanding,Diagnosis,JPEG,RGB,1500,969,1453500,1.548,670946,False,4780bc73c105ec2b2b9ee4c59e7275e5,df616087c50f293e
MM-355,MM-355-a.jpeg,Respiratory,Reasoning,Diagnosis,JPEG,RGB,300,256,76800,1.1719,8400,True,7eeb07b69ac80c244dab9495d832ddac,d57faa0beb494844
MM-355,MM-355-b.jpeg,Respiratory,Reasoning,Diagnosis,JPEG,RGB,700,428,299600,1.6355,38582,True,930e6ddf17d784da57247c0cb02c5c0f,ba7af1988586c5e1
MM-356,MM-356-a.jpeg,Skeletal,Understanding,Treatment,PNG,RGBA,381,500,190500,0.762,147183,True,798613fbf2ff7e02f4e9f5239a13fd41,8570f854fa0df21d
MM-356,MM-356-b.jpeg,Skeletal,Understanding,Treatment,PNG,RGBA,500,375,187500,1.3333,151483,True,e79fd2486d5e84376db6f7517a021a38,be819c85da8742e7
MM-356,MM-356-c.jpeg,Skeletal,Understanding,Treatment,PNG,RGBA,500,479,239500,1.0438,245239,True,199b4e730cd0e266b68d3e8d26d25bfe,d1d2e11e5696e6a4
MM-356,MM-356-d.jpeg,Skeletal,Understanding,Treatment,PNG,RGBA,375,500,187500,0.75,161138,True,fc873f80d94524842f8a73cd8acb42b4,99e06d93366d1a96
MM-356,MM-356-e.jpeg,Skeletal,Understanding,Treatment,PNG,RGBA,375,500,187500,0.75,169386,True,43fbce084e89e35b920f6baf9a814418,92c2d86c66e67971
MM-357,MM-357-a.jpeg,Cardiovascular,Understanding,Diagnosis,JPEG,RGB,1500,1525,2287500,0.9836,678721,False,3a8d1c887350fff3e3b35458809266d7,fbe6554aa9b48053
MM-358,MM-358-a.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,RGB,450,328,147600,1.372,30725,True,1b051e1e938d250ec0e6e1e0622fbbce,89ad375666899276
MM-359,MM-359-a.jpeg,Reproductive,Understanding,Diagnosis,JPEG,RGB,1500,1026,1539000,1.462,1116104,False,3dbcdcad8f3c4478ca34e81e95444712,bf97c2c89f04b41a
MM-360,MM-360-a.jpeg,Skeletal,Reasoning,Diagnosis,JPEG,RGB,1500,1121,1681500,1.3381,401572,True,5228448eba74a61850b6e4a975325e69,95682c0f173b1f1e
MM-361,MM-361-a.jpeg,Reproductive,Reasoning,Diagnosis,JPEG,RGB,300,225,67500,1.3333,12216,True,543e24f10e0cb75304de9aeaa9385c7f,c01e3f31cb52d8cb
MM-362,MM-362-a.jpeg,Endocrine,Understanding,Diagnosis,JPEG,RGB,1280,849,1086720,1.5077,73367,False,71a91bda05f17a1e482ed67715b3e42c,b2a64981b473e6cd
MM-363,MM-363-a.jpeg,Integumentary,Understanding,Diagnosis,JPEG,RGB,1500,1060,1590000,1.4151,980132,False,87435fb916babce6a37a917a57cf80c5,8eda51b85aa8d86e
MM-364,MM-364-a.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,RGB,528,360,190080,1.4667,33056,True,728ddc512891263c3b93b186dfbb8fe5,99164ec92e9c7996
MM-364,MM-364-b.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,RGB,552,351,193752,1.5726,32676,True,eb60e13e65538f9f9876992861c8d295,994f46c97a1e8978
MM-364,MM-364-c.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,RGB,535,370,197950,1.4459,32585,True,55bf7f6955d21a17a9e7b799ed9da6ef,991366ed2e8c3993
MM-364,MM-364-d.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,RGB,590,367,216530,1.6076,32675,True,17410e373b255ef07d609609ca264179,994f46a47ace0979
MM-365,MM-365-a.jpeg,Other / NA,Reasoning,Treatment,JPEG,RGB,387,266,102942,1.4549,21094,True,1bbc3f3db94917d58aae81b52e330583,eb4a6195685e7c64
MM-366,MM-366-a.png,Reproductive,Reasoning,Diagnosis,PNG,RGB,800,600,480000,1.3333,208477,True,234bfb3c4b42d7e6bb7b3126266e8033,8d6a72916d46366b
MM-367,MM-367-a.jpeg,Integumentary,Understanding,Diagnosis,JPEG,RGB,947,999,946053,0.9479,61374,True,dd28168fc52e2e3537ad37298f6c17fe,94d37886b1d6b1e2
MM-368,MM-368-a.jpeg,Integumentary,Reasoning,Diagnosis,JPEG,RGB,218,386,84148,0.5648,11883,False,b99ecd47d94d63727032ae6b1a8a3874,c5bf213a3f231b14
MM-369,MM-369-a.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,L,299,304,90896,0.9836,6642,True,fb69267983c6daef03fb41a8e8f0809c,9c4e6999ca33e664
MM-369,MM-369-b.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,L,309,309,95481,1.0,7440,True,7fb5e5f0b8f609e5f8171f3868d07914,84e3ceb2ace8f1e0
MM-369,MM-369-c.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,RGB,232,258,59856,0.8992,6336,False,dc01719e95f57ad6bb2ee878e72aadfe,9cf67961c2a46798
MM-369,MM-369-d.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,RGB,266,258,68628,1.031,7504,False,a14116e0034cc04fbebbd48470db1e26,85b15ed3e8f2c431
MM-370,MM-370-a.jpeg,Skeletal,Reasoning,Diagnosis,PNG,RGBA,250,250,62500,1.0,53969,True,0b987e8ce04bb057d1e62e54f8323fe4,c037e896ebc2ae1c
MM-370,MM-370-b.jpeg,Skeletal,Reasoning,Diagnosis,PNG,RGBA,272,185,50320,1.4703,28480,True,09c7145e97b69ee52ed4d2af2b76e417,996699a6cc639669
MM-370,MM-370-c.jpeg,Skeletal,Reasoning,Diagnosis,PNG,RGBA,266,500,133000,0.532,112559,True,1a4ce4674fbf74a7047b3314ff055328,9472659cad64b749
MM-370,MM-370-d.jpeg,Skeletal,Reasoning,Diagnosis,JPEG,RGB,297,450,133650,0.66,10315,True,ed5d553cb825f25f6ae130a7d352756a,9544abad4d329c6b
MM-370,MM-370-e.jpeg,Skeletal,Reasoning,Diagnosis,JPEG,RGB,368,450,165600,0.8178,12033,True,8813094edaef4d2af7ea66f58eb8a712,cd639269964a95f8
MM-371,MM-371-a.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,RGB,1500,880,1320000,1.7045,513987,True,6591d496dab19e262a3343c3b88316ef,c0cb30b96ea632fc
MM-372,MM-372-a.jpeg,Skeletal,Reasoning,Diagnosis,JPEG,RGB,167,216,36072,0.7731,10973,False,d6a4098e732f2226c8334d78cc81cabd,922966999d7269ec
MM-373,MM-373-a.jpeg,Integumentary,Understanding,Diagnosis,JPEG,RGB,1500,1125,1687500,1.3333,972677,False,b88a3f817ebd500358d1bb182296d42d,e4c7197b9625489e
MM-374,MM-374-a.jpeg,Skeletal,Reasoning,Diagnosis,JPEG,RGB,1499,1151,1725349,1.3023,74494,True,2d2cdd5490d2c1adf53dfb78cf139eb7,c04f3d1b307cb15b
MM-374,MM-374-b.jpeg,Skeletal,Reasoning,Diagnosis,JPEG,RGB,536,709,380024,0.756,57440,True,e2122c175e339b4e962c02b8c64a8583,e88f81fd03c84b4f
MM-374,MM-374-c.jpeg,Skeletal,Reasoning,Diagnosis,JPEG,RGB,509,663,337467,0.7677,45540,True,7b334eb5028ef61e750e3e256401da58,f4e2632f1f183839
MM-374,MM-374-d.jpeg,Skeletal,Reasoning,Diagnosis,JPEG,RGB,499,530,264470,0.9415,35409,True,87fef44e81e8a0c340dbd9883e61dcf7,f2f2e9e9e7929200
MM-374,MM-374-e.jpeg,Skeletal,Reasoning,Diagnosis,JPEG,RGB,1441,1441,2076481,1.0,698836,False,dab5129118e3b27ba4242649fd22290e,a59252e169b43a5f
MM-375,MM-375-a.jpeg,Integumentary,Reasoning,Diagnosis,JPEG,RGB,1500,1399,2098500,1.0722,634325,False,e56ebf59362f51bf3a407c1ced71df57,fadcc18186959727
MM-376,MM-376-a.jpeg,Digestive,Understanding,Diagnosis,JPEG,RGB,1515,1000,1515000,1.515,77865,False,5a761572411b372d8e51f673b14df08c,c7de091d26a2d8cd
MM-377,MM-377-a.jpeg,Skeletal,Understanding,Diagnosis,JPEG,RGB,1500,1710,2565000,0.8772,419437,True,b8f6560c8fb24a7d15c79816f0563c6c,8fc3388c2e9a4db6
MM-378,MM-378-a.jpeg,Cardiovascular,Reasoning,Treatment,JPEG,RGB,1500,800,1200000,1.875,236661,True,25c948457f39205bbb7047a9c2d077d7,aa5adb0f4b172b42
MM-379,MM-379-a.jpeg,Lymphatic,Understanding,Diagnosis,JPEG,RGB,1333,1000,1333000,1.333,236422,False,ff261f8f0928b251722f874be2171ee0,d5e9caa592b4d08d
MM-380,MM-380-a.jpeg,Integumentary,Understanding,Diagnosis,JPEG,RGB,1500,1131,1696500,1.3263,1371444,False,bc647052b14403009d88f5f5ab016a24,fece7048536c9923
MM-381,MM-381-a.jpeg,Skeletal,Understanding,Basic Science,JPEG,RGB,450,380,171000,1.1842,37553,True,3aa437dc4547059af4695b55004b7138,e5069c799760e89b
MM-381,MM-381-b.jpeg,Skeletal,Understanding,Basic Science,JPEG,RGB,320,571,182720,0.5604,41230,True,bebcbd3730cdb430f323abeb5bc72e17,a51528b926db6d8e
MM-382,MM-382-a.jpeg,Skeletal,Reasoning,Treatment,PNG,RGBA,228,450,102600,0.5067,102701,True,51b39d11343628e1010f04d38f65e63d,9eaeaa16555545aa
MM-382,MM-382-b.jpeg,Skeletal,Reasoning,Treatment,PNG,RGBA,297,450,133650,0.66,388700,False,eb7c26ca8a565dd644eae0e621c7cf84,e7c546871cd6e981
MM-382,MM-382-c.jpeg,Skeletal,Reasoning,Treatment,PNG,RGBA,298,450,134100,0.6622,391480,False,046e4553d91ed6a6aa361e29e45d4681,fa8a401ab935bba5
MM-383,MM-383-a.jpeg,Skeletal,Reasoning,Diagnosis,JPEG,RGB,1094,1104,1207776,0.9909,87928,True,69a43a8b8db7dc78afddf7d0f2fc4cb2,8d13685d487c0bfe
MM-383,MM-383-b.jpeg,Skeletal,Reasoning,Diagnosis,JPEG,RGB,1098,1104,1212192,0.9946,91231,True,3e4c57025223176152b2cc44674ed3ef,b2bd2b4a90b42d2f
